United Kingdom + Scotland,,,,
Bachelors,Masters,PhD,,
1 .Matric Trancript ,1 .Matric Trancript ,1 .Matric Trancript ,,
2. Matric Certificate,2. Matric Certificate,2. Matric Certificate,,
3. Intermediate Transcript,3. Intermediate Transcript,3. Intermediate Transcript,,
4. Intermediate Certificate,4. Intermediate Certificate,4. Intermediate Certificate,,
5. Passport,5. Bachelor's Transcript,5. Bachelor's Transcript,,
6. ID Card,6. Bachelor's Certificate,6. Bachelor's Certificate,,
7. CV,7. Passport,7. Master's Transcript,,
8. Recommendation Letters (2),8. ID Card,8. Master's Certificate,,
"9. English Language Test/
MOI or Proficiency Certificate",9. CV,9. Passport,,
"10.  Statement of Purpose/
Motivational Letter",10. Recommendation Letters (2),10. ID Card,,
11. Passport size Photograph,"11. English Language Test/
MOI or Proficiency Certificate",11. CV,,
12.  Police Character Certificate,"12.  Statement of Purpose/
Motivational Letter",12. Recommendation Letters (2),,
13. TB Test,13. Passport size Photograph,"13. English Language Test/
MOI or Proficiency Certificate",,
14. Health insurance ,14.  Police Character Certificate,"14.  Statement of Purpose/
Motivational Letter",,
"15.Parent Consent if student’s age 
is less than 18",15. TB Test,15. Passport size Photograph,,
"16. ATAS Certificate 
(For some fields related to Physics,
 Computer science, Engineering)",16. Health insurance ,16.  Police Character Certificate,,
17. Experience Letter to Cover Gap,"17.Parent Consent if student’s age 
is less than 18",17. TB Test,,
,"18. ATAS Certificate 
(For some fields related to Physics,
 Computer science, Engineering)",18. Health insurance ,,
,19. Experience Letter to Cover Gap,"19.Parent Consent if student’s age 
is less than 18",,
,,"20. ATAS Certificate 
(For some fields related to Physics,
 Computer science, Engineering)",,
,,21. Experience Letter to Cover Gap,,
,,"22. Publication if Availabale 
(For Plus Points)",,
,,23. Supervisor Acceptance Letter ,,
,,,,
China ,,,,
,,,,
Bachelors,Masters,PhD,,
1 .Matric Trancript ,1 .Matric Trancript ,1 .Matric Trancript ,,
2. Matric Certificate,2. Matric Certificate,2. Matric Certificate,,
3. Intermediate Transcript,3. Intermediate Transcript,3. Intermediate Transcript,,
4. Intermediate Certificate,4. Intermediate Certificate,4. Intermediate Certificate,,
5. Passport,5. Bachelor's Transcript,5. Bachelor's Transcript,,
6. ID Card,6. Bachelor's Certificate,6. Bachelor's Certificate,,
7. CV,7. Passport,7. Master's Transcript,,
"8.  Passport size Photograph 
(With White Background)",8. ID Card,8. Master's Certificate,,
"9. English Language Test/
MOI or Proficiency Certificate",9. CV,9. Passport,,
"10.  Statement of Purpose/
Motivational Letter","10.  Passport size Photograph 
(With White Background)",10. ID Card,,
11. Study Plan ,"11. English Language Test/
MOI or Proficiency Certificate",11. CV,,
12. Recommendation Letters (2),"12.  Statement of Purpose/
Motivational Letter","12.  Passport size Photograph 
(With White Background)",,
